0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149
85.138,57.753,59.931,62.757,68.048,55.423,63.258,73.238,65.484,69.571,0.000,138.945,107.133,107.571,108.462,108.290,105.924,163.539,161.553,155.034,159.040,173.205,173.934,165.224,154.923,174.633,170.883,189.853,189.611,182.303,168.800,167.610,173.081,173.857,176.416,163.025,166.817,166.371,170.697,171.608,169.831,171.168,167.926,167.200,171.608,170.321,178.282,181.307,177.456,177.147,178.252,176.792,177.679,175.266,177.816,180.446,182.234,181.212,176.820,148.696,168.392,164.243,191.304,187.656,189.698,187.736,187.796,187.736,191.304,161.039,159.301,169.746,167.586,156.897,175.574,170.896,164.916,163.926,159.237,168.152,170.547,169.695,167.868,173.099,170.963,168.131,160.724,156.603,169.953,189.156,186.592,182.056,187.820,180.866,182.096,185.298,179.661,186.765,178.198,177.281,185.630,164.389,162.610,162.158,165.834,168.206,165.077,157.098,170.185,169.161,156.757,167.791,160.823,165.285,165.255,160.597,157.756,173.786,173.120,170.775,171.954,173.471,171.440,173.812,172.597,169.584,174.190,173.551,173.833,171.438,172.565,176.653,174.249,173.140,172.993,167.599,191.111,190.648,183.177,167.861,166.297,168.817,163.086,167.708,168.886,169.086,176.257,181.026,180.475,185.715 
140.304,128.663,122.990,130.875,124.169,126.224,123.969,119.347,133.912,126.936,138.945,0.000,110.219,110.811,109.628,101.809,121.615,151.997,157.508,176.772,165.328,158.641,170.325,175.054,166.933,167.161,176.735,186.047,186.207,175.138,171.429,151.092,154.212,157.730,154.183,141.211,146.960,139.443,154.326,159.318,150.627,157.378,146.269,144.451,154.093,176.657,179.351,178.089,179.752,183.063,181.045,177.215,178.746,173.628,175.582,182.290,184.416,182.921,176.209,155.756,142.213,129.433,183.784,178.157,181.231,178.772,175.425,176.676,183.784,152.094,153.860,142.423,138.305,140.090,154.628,155.211,144.990,130.383,141.469,145.456,146.028,143.985,138.930,140.662,131.531,131.321,127.424,134.069,165.915,180.413,177.373,182.229,178.059,182.794,176.588,175.936,179.496,181.540,175.389,173.983,183.356,145.686,138.381,138.105,140.817,142.176,136.341,142.575,145.974,141.707,132.059,137.729,137.671,141.903,140.297,135.815,131.623,168.349,171.736,172.811,172.548,172.870,166.960,175.131,172.082,169.019,175.193,171.254,168.796,173.069,173.525,169.553,174.860,168.483,165.566,158.724,183.099,186.047,186.517,153.180,147.509,144.279,147.009,152.424,179.361,177.213,171.294,171.402,172.363,172.972 
99.859,97.860,94.397,100.228,98.400,96.431,100.237,96.354,95.976,92.309,107.133,110.219,0.000,54.619,57.915,56.131,65.304,162.603,160.467,168.085,183.479,178.204,172.542,174.493,158.803,179.359,175.502,193.875,193.743,190.348,186.837,161.028,163.444,166.010,167.651,157.577,157.601,156.942,165.082,166.234,164.689,164.543,152.513,156.725,169.127,186.611,188.774,188.553,188.082,187.980,188.102,187.136,188.331,186.676,186.902,188.901,190.937,188.312,179.476,158.107,150.862,144.108,194.373,188.023,186.277,184.783,190.962,185.835,194.373,165.245,154.441,157.458,153.317,157.753,163.740,166.520,157.043,140.938,150.474,154.929,157.921,163.139,158.038,158.402,147.126,144.151,142.512,125.514,163.257,193.003,187.759,188.594,190.321,188.140,178.574,185.122,186.489,185.105,187.592,186.536,190.793,134.065,134.894,130.037,139.071,129.284,127.507,126.373,139.624,139.825,128.580,132.709,128.133,133.048,133.989,135.083,138.603,171.539,181.216,175.894,177.922,177.559,177.392,180.099,179.217,175.877,180.977,178.698,179.438,182.146,179.543,183.461,181.547,179.983,178.784,155.286,194.266,193.599,193.766,166.780,165.875,167.327,164.363,165.998,175.148,179.657,175.844,183.346,182.918,188.856 
99.436,99.258,97.964,100.019,95.191,96.664,99.084,92.974,96.446,93.442,107.571,110.811,54.619,0.000,46.903,53.426,55.236,164.604,163.771,169.617,179.454,177.013,172.039,169.063,158.140,181.564,176.917,192.674,193.547,191.058,186.864,162.237,161.869,167.494,165.915,159.187,158.292,159.906,167.503,166.004,166.017,166.455,153.904,159.699,169.219,186.766,189.265,189.027,188.447,188.773,188.890,187.926,189.010,186.505,187.420,189.543,192.033,188.441,179.560,153.514,152.937,146.804,194.509,189.336,185.958,185.022,188.225,185.202,194.509,164.144,153.384,154.164,151.469,151.665,160.193,162.179,156.431,138.251,146.687,150.222,156.000,162.689,156.181,158.430,144.385,140.444,138.833,125.023,159.147,193.231,189.265,187.205,193.288,189.303,180.527,188.807,188.006,189.762,190.470,185.386,190.787,129.875,133.542,123.741,131.988,121.271,119.588,123.835,136.718,135.957,125.750,127.712,125.714,129.073,125.639,134.489,133.224,169.220,178.076,173.639,177.760,179.357,178.042,179.450,179.589,175.525,181.267,177.122,178.471,180.955,181.206,182.186,182.301,179.962,176.704,154.273,194.408,193.709,193.542,169.615,166.982,168.169,167.175,168.426,174.386,179.278,177.773,184.781,182.985,188.585 
102.552,102.385,97.001,100.111,96.337,98.216,100.121,93.469,98.860,99.314,108.462,109.628,57.915,46.903,0.000,47.219,59.939,164.926,154.914,161.587,186.089,176.132,171.704,172.945,162.403,178.806,176.162,191.765,193.212,188.650,186.189,159.718,162.914,160.456,169.432,158.067,157.900,159.914,161.396,162.591,161.284,163.957,155.702,156.334,167.901,185.422,187.973,188.041,187.222,188.283,188.678,186.598,187.557,185.508,185.873,188.376,189.664,187.254,176.234,155.687,147.909,147.349,193.919,186.655,184.860,183.748,187.083,184.293,193.919,164.386,158.941,160.223,153.707,152.860,163.299,167.758,163.323,143.132,151.453,155.445,160.494,164.473,160.294,163.749,143.213,141.113,140.320,125.775,158.969,192.490,187.715,189.676,191.452,187.655,178.819,185.977,185.729,187.359,189.706,185.123,190.231,134.076,136.071,128.882,138.490,125.932,122.830,126.272,141.106,138.269,128.749,135.657,126.872,133.933,131.332,135.760,136.174,165.550,180.053,174.162,177.453,179.638,180.898,178.346,180.062,175.301,180.918,178.681,179.133,181.488,181.849,183.965,181.908,178.728,177.600,157.322,193.795,194.373,194.476,165.185,165.112,165.996,163.572,163.531,174.178,178.223,177.330,181.875,181.974,187.838 
110.361,98.097,99.622,108.092,102.022,100.364,104.898,98.821,99.746,99.754,108.290,101.809,56.131,53.426,47.219,0.000,54.846,160.680,162.039,169.524,180.027,175.370,168.809,164.689,158.700,178.677,176.080,194.013,192.706,187.948,185.832,158.423,155.927,163.505,162.587,155.454,155.220,155.858,163.172,159.663,162.183,160.781,151.333,150.000,163.634,185.448,188.955,188.407,189.371,189.772,190.734,188.576,188.449,184.656,187.427,190.318,192.226,185.288,176.548,152.610,146.971,141.370,193.496,188.102,185.869,182.766,186.168,182.552,193.496,161.614,152.734,148.209,146.870,147.733,154.604,157.601,147.865,136.026,141.877,142.977,150.509,155.991,151.862,154.638,136.574,136.607,133.277,125.304,159.566,192.121,189.723,192.220,190.013,187.559,181.745,185.281,185.754,187.528,188.571,187.723,191.386,135.109,127.730,128.709,132.883,126.427,123.997,120.965,138.030,138.321,123.468,132.220,127.489,132.237,127.369,128.548,127.614,162.991,178.386,171.953,177.103,180.952,178.471,181.018,181.685,173.854,179.848,177.796,178.234,181.751,182.103,182.899,182.117,180.063,177.256,154.986,193.353,192.765,194.130,164.716,162.415,163.498,162.753,161.582,171.222,176.923,176.710,182.152,182.271,186.314 
104.279,97.719,96.407,100.382,102.029,96.809,101.085,100.549,96.094,94.273,105.924,121.615,65.304,55.236,59.939,54.846,0.000,167.373,167.003,166.026,186.409,177.135,175.927,172.700,164.366,182.226,177.485,194.539,195.300,190.524,188.334,161.602,165.740,168.064,171.611,160.736,159.324,160.866,169.750,166.090,168.074,166.300,159.974,160.931,174.201,186.595,189.245,190.275,187.325,188.165,187.999,186.644,188.021,186.469,188.719,188.290,193.008,190.887,182.748,159.002,158.782,153.704,196.483,189.970,190.151,188.044,191.750,186.710,196.483,170.398,161.070,161.776,159.141,160.248,164.390,171.022,163.978,151.245,154.894,159.019,163.765,168.941,165.138,166.545,148.576,149.504,148.208,138.216,163.337,195.197,191.336,188.898,193.842,189.944,183.593,188.601,189.740,189.343,190.087,186.377,192.909,145.014,143.216,139.966,145.735,139.081,136.870,135.783,150.375,150.661,133.339,145.871,141.245,147.445,141.120,139.780,141.973,169.642,183.359,177.097,181.349,183.780,181.450,182.174,182.961,179.921,183.173,180.944,180.971,183.297,184.727,186.574,184.060,183.039,179.719,163.181,196.417,195.470,195.277,171.112,169.304,171.865,166.661,170.114,171.257,178.029,182.701,187.173,185.868,191.214 
167.213,160.717,160.924,158.323,158.472,158.916,158.398,160.550,159.420,160.153,163.539,151.997,162.603,164.604,164.926,160.680,167.373,0.000,149.649,144.483,146.079,163.684,143.462,148.694,159.239,152.739,161.539,165.911,175.000,170.710,151.209,168.883,159.883,168.424,168.020,159.047,163.587,166.371,168.683,167.316,165.426,168.038,165.903,170.338,167.987,160.791,158.738,155.456,154.336,147.386,151.699,153.430,157.862,160.406,153.053,153.723,141.185,134.572,158.372,149.664,161.346,155.566,165.714,169.231,170.000,170.732,169.231,170.732,165.714,133.327,152.727,156.688,167.615,154.621,165.423,161.070,160.006,156.064,162.169,166.146,172.831,158.490,157.833,163.451,162.149,150.419,156.331,151.428,145.729,160.496,165.029,167.849,161.333,165.606,155.580,166.544,166.933,172.200,166.658,158.308,149.898,167.835,156.983,164.576,155.150,163.387,162.653,165.600,162.289,165.572,159.324,160.920,152.235,166.208,160.599,157.694,156.742,147.576,146.900,132.973,147.794,136.762,145.315,144.858,152.939,133.013,142.855,136.570,136.825,140.512,145.070,153.549,149.257,134.690,142.815,150.976,162.500,174.468,158.326,131.265,128.310,124.345,111.943,123.920,130.812,149.959,148.464,146.157,140.592,148.948 
174.407,162.573,165.028,167.069,167.273,165.775,171.347,169.081,168.192,163.022,161.553,157.508,160.467,163.771,154.914,162.039,167.003,149.649,0.000,123.118,143.289,119.011,114.535,144.940,167.749,136.812,134.179,129.978,146.228,144.949,156.399,110.211,126.635,117.868,131.042,112.971,124.903,111.016,117.057,132.218,123.304,112.125,115.435,123.249,138.576,142.460,136.997,131.793,132.122,124.926,125.031,131.981,134.229,134.774,136.981,129.820,142.335,107.692,83.028,125.508,134.346,137.609,135.135,121.338,111.272,109.614,128.985,115.867,135.135,126.846,141.423,132.018,145.719,137.673,140.879,145.017,152.129,148.920,136.147,150.201,142.770,141.336,141.529,138.836,145.772,141.201,151.546,158.785,136.988,162.016,152.027,147.414,150.786,137.140,121.384,131.909,143.782,103.887,147.387,141.294,123.738,154.672,149.389,153.452,153.453,161.913,158.134,154.785,164.477,153.905,148.352,153.559,158.783,156.895,156.816,147.222,154.213,125.692,131.175,122.390,129.099,133.610,123.355,135.241,134.380,128.553,147.588,125.215,129.103,126.504,127.135,128.707,133.987,128.916,129.666,160.519,164.706,144.302,156.360,139.820,125.744,127.546,129.761,131.996,136.671,130.650,119.864,107.111,105.927,121.807 
160.700,161.287,152.564,155.929,158.374,158.253,160.528,157.772,160.081,158.319,155.034,176.772,168.085,169.617,161.587,169.524,166.026,144.483,123.118,0.000,137.645,161.255,165.319,179.693,175.504,173.949,161.357,173.666,187.945,182.761,149.836,136.545,143.552,139.317,150.301,137.111,145.090,138.775,142.507,146.504,136.870,142.105,151.616,144.986,144.501,153.954,152.298,166.005,153.718,143.865,138.188,151.153,161.143,157.026,155.284,158.501,171.192,159.667,140.676,155.072,164.618,166.172,194.971,181.880,187.433,186.881,187.060,190.799,194.971,158.586,163.953,161.963,168.559,155.160,165.246,163.322,166.310,167.914,165.508,170.680,174.646,172.893,164.277,176.520,175.370,172.497,173.701,171.390,170.266,190.550,173.360,158.799,172.861,145.994,130.999,149.195,146.802,132.978,151.771,155.706,169.167,179.228,179.913,183.016,181.703,185.896,179.319,179.189,188.178,182.940,178.794,183.276,180.864,175.907,183.903,174.431,175.814,170.861,163.329,152.745,164.919,165.216,160.614,162.895,169.399,158.743,171.582,157.914,160.579,162.491,160.252,171.505,164.442,164.756,161.739,176.908,194.628,184.496,165.460,176.119,167.632,174.244,161.310,172.319,149.067,135.547,159.774,158.400,157.107,170.478 
